       word      coef
0       00~  0.691010
1       0년~ -2.530828
2       0년대 -1.114568
3       10~  0.001511
4      10점~  0.238677
5       19~  0.872187
6       1점~  1.046586
7       1점도 -1.573550
8      2014 -1.637051
9    2017년~ -1.561501
10   2017년에 -0.579687
11     201~ -1.276218
12      20~  0.358977
13      7년~  0.011252
14       cg -2.608836
15      cg~  0.849237
16      cg는  0.692502
17      cg로  1.393366
18      cg와  0.691548
19      vi~  1.530975
20      가까~ -0.497930
21       가장  1.005805
22       감독  0.484400
23      감독~ -0.681281
24      감독의 -0.029404
25      감독이 -0.425161
26       감이 -1.757938
27     같습니다 -1.806526
28      같아~  0.368193
29       같은  0.035079
..      ...       ...
884     현실을 -0.472551
885   현실적이고  1.783703
886    현실적인  1.890373
887      호감 -0.740820
888     호불호 -1.568597
889    호불호~  2.997930
890      혼자 -0.202320
891     홍보~  3.490743
892      화냐 -0.589398
893     화면~ -1.416633
894     확실~  0.111986
895     확실히  0.808759
896     활용~ -0.538673
897     회의~ -2.175964
898     효과~  0.000000
899     효율~  0.028858
900    후뢰시맨 -0.871701
901     후반~  0.000000
902     후반부 -0.033448
903    후속작~  0.689871
904   후쿠시마~  0.072311
905     후하게 -1.261358
906     훌륭한  2.045173
907      훨씬 -0.352375
908      흔한 -0.363678
909      히는  0.929371
910     히데~ -0.479229
911   히데아키~  0.559666
912     힘들~  0.243602
913    힘들었~  1.374388

[914 rows x 2 columns]
